Artist,Listeners,Daily +/-,Peak,PkListeners
Rahat Fateh Ali Khan,"19,535,186","40,482",409,"19,535,186"
BigXthaPlug,"19,484,783","-50,582",305,"22,793,275"
Glass Animals,"19,453,470","13,168",132,"28,077,809"
benny blanco,"19,439,809","-44,306",99,"37,348,214"
AP Dhillon,"19,386,100","-4,785",394,"19,390,885"
The Lumineers,"19,372,869","-34,930",165,"28,855,344"
Prince Royce,"19,170,291","-40,683",339,"19,229,651"
Foreigner,"19,128,781","130,354",396,"19,287,533"
Natasha Bedingfield,"19,123,897","-88,416",165,"28,725,197"
Anu Malik,"19,095,720","24,565",435,"19,095,720"
Noah Cyrus,"19,071,248","-58,058",339,"20,615,213"
Hotel Ugly,"19,051,988","-83,874",256,"23,321,907"
Tulsi Kumar,"19,030,955","15,445",346,"20,616,552"
My Chemical Romance,"19,012,223","3,525",389,"20,474,332"
Brent Faiyaz,"18,999,338","-50,482",192,"25,902,758"
S. P. Balasubrahmanyam,"18,999,331","-25,621",440,"19,076,170"
Muse,"18,955,184","-2,640",396,"19,365,096"
Justin Quiles,"18,937,325","-55,699",223,"21,581,896"
Lata Mangeshkar,"18,926,263","-2,762",429,"18,961,174"
Sexyy Red,"18,921,200","-82,721",105,"36,995,746"
Troye Sivan,"18,903,937","-2,867",107,"32,443,596"
Marvin Gaye,"18,895,121","-13,143",243,"22,903,088"
Mc Jhey,"18,841,721","1,053",450,"18,841,721"
Diljit Dosanjh,"18,822,475","27,301",247,"23,839,106"
Badshah,"18,775,055","-9,701",273,"23,042,104"
Stephen Sanchez,"18,766,041","-8,178",82,"34,322,910"
GIMS,"18,765,734","6,886",416,"18,765,734"
Clairo,"18,762,488","-69,381",337,"20,395,711"
The Cure,"18,752,071","10,590",354,"19,787,965"
Myles Smith,"18,736,772","-29,122",170,"28,960,193"
Bill Withers,"18,719,168","-57,227",219,"25,445,001"
Lauv,"18,703,805","-38,545",257,"22,804,645"
Dido,"18,695,169","67,330",307,"21,688,560"
Lil Nas X,"18,690,579","12,924",61,"37,597,256"
Alessia Cara,"18,689,441","11,556",227,"25,204,710"
Jason Mraz,"18,687,208","-14,897",282,"21,336,382"
Kunaal Vermaa,"18,615,635","64,313",419,"18,615,635"
Rochak Kohli,"18,597,489","10,103",402,"19,904,963"
Grupo Menos É Mais,"18,587,621","8,274",435,"18,704,364"
Black Sabbath,"18,420,811","-71,255",173,"31,120,876"
Ricky Martin,"18,395,009","23,786",365,"18,395,009"
The 1975,"18,394,308","-13,081",341,"18,828,760"
Fred again..,"18,391,857","43,866",397,"18,391,857"
Daya,"18,383,805","27,085",340,"20,492,260"
David Bowie,"18,345,791","26,037",317,"20,160,489"
Alejandro Fernández,"18,180,383","-17,603",404,"18,505,932"
De La Ghetto,"18,175,647","3,725",238,"21,703,557"
CeeLo Green,"18,155,491","-61,504",470,"18,240,467"
Kausar Munir,"18,137,463","54,558",311,"21,771,072"
Jonas Blue,"18,102,361","-28,426",226,"22,821,691"
Neeti Mohan,"18,084,700","-35,145",389,"19,101,932"
Wisin,"18,077,569","-30,318",405,"18,202,394"
Dominic Fike,"18,053,145","-21,797",193,"26,663,756"
Jesse & Joy,"18,037,085","56,397",440,"18,037,085"
Amaal Mallik,"18,027,300","17,419",390,"19,443,427"
Arcane,"18,002,759","25,660",132,"33,507,367"
Disturbed,"17,991,803","-53,700",286,"22,402,786"
Juanes,"17,959,260","25,812",332,"19,298,882"
Henrique & Juliano,"17,956,727","-9,938",461,"18,043,242"
Dean Lewis,"17,920,995","-44,161",266,"19,801,720"
Céline Dion,"17,907,038","26,861",105,"38,976,847"
Big Sean,"17,820,564","-48,377",166,"29,499,746"
Rvssian,"17,820,368","-89,020",180,"27,438,055"
Bryant Myers,"17,795,527","-1,003",341,"18,758,660"
Lil Durk,"17,767,086","-48,765",92,"34,773,282"
KISS,"17,743,471","11,008",475,"17,743,471"
Nile Rodgers,"17,735,723","-112,850",209,"25,999,504"
Roddy Ricch,"17,728,028","31,739",205,"23,016,594"
Jeremih,"17,670,538","-20,889",443,"17,903,791"
blink-182,"17,661,003","-5,493",268,"22,103,116"
TINI,"17,633,929","2,560",290,"26,064,686"
Bob Dylan,"17,633,803","-50,374",492,"17,764,681"
Pop Smoke,"17,617,063",-627,162,"25,280,553"
Los Ángeles Azules,"17,612,118","-28,548",374,"19,765,045"
Rex Orange County,"17,610,501","-34,330",336,"20,643,088"
Dave Stewart,"17,603,719","111,718",503,"17,603,719"
Migos,"17,600,359","-65,336",296,"20,299,307"
Sajid-Wajid,"17,600,133","-2,357",478,"17,701,237"
Three Days Grace,"17,597,711","-13,430",468,"17,879,276"
Cyndi Lauper,"17,578,008","-5,468",214,"25,807,659"
