Artist,Listeners,Daily Trend,Peak,PkListeners
Neha Kakkar,"16,558,743","-52,412",397,"16,747,134"
BLACKPINK,"16,548,141","-15,773",173,"25,116,235"
Kylie Minogue,"16,522,844","145,132",233,"24,715,118"
Shaggy,"16,501,146","-7,684",328,"18,459,819"
Richy Mitch & The Coal Miners,"16,495,841","-3,057",218,"25,801,578"
Jonas Blue,"16,484,116","-55,005",226,"22,821,691"
Destiny's Child,"16,473,061","109,406",352,"20,157,027"
John Williams,"16,456,178","496,307",246,"24,161,418"
FISHER,"16,447,958","12,887",382,"19,632,720"
Daya,"16,440,404","-18,524",340,"20,492,260"
George Ezra,"16,417,146","11,360",291,"20,125,754"
MC Ryan SP,"16,357,316","47,633",349,"19,355,147"
Cage The Elephant,"16,336,479","-268,872",401,"18,343,382"
Kehlani,"16,301,259","-23,389",413,"17,718,711"
Otis Redding,"16,295,001","404,407",468,"16,801,154"
Trueno,"16,234,445","-79,054",178,"28,176,321"
Idina Menzel,"16,215,838","495,083",337,"20,564,676"
Keinemusik,"16,197,577","-117,852",233,"25,010,459"
Parampara Tandon,"16,166,235","-3,585",433,"16,200,908"
Kimbra,"16,153,610","4,193",434,"17,862,679"
Yeat,"16,142,842","-28,250",149,"28,149,740"
T-Pain,"16,121,142","39,056",372,"18,873,052"
Rochak Kohli,"16,091,728","36,088",470,"16,290,451"
Rahat Fateh Ali Khan,"16,091,586","13,543",479,"16,091,586"
Eladio Carrion,"16,087,847","14,464",156,"26,738,598"
Eurythmics,"16,057,101","-620,704",364,"19,541,941"
Emilia,"16,001,855","-44,865",337,"19,179,139"
benny blanco,"15,984,247","-1,954",262,"23,177,471"
Kausar Munir,"15,981,800","58,985",517,"15,981,800"
Justin Quiles,"15,934,058","10,765",223,"21,581,896"
Pabllo Vittar,"15,916,458","109,649",242,"24,426,272"
Gesaffelstein,"15,885,440","-119,993",273,"18,995,025"
Ice Spice,"15,883,198","62,148",49,"47,203,544"
BigXthaPlug,"15,852,917","107,204",514,"15,950,125"
MEDUZA,"15,848,683","-59,362",222,"22,148,251"
Steve Aoki,"15,838,297","-336,117",216,"21,606,912"
Anuv Jain,"15,834,228","4,311",505,"16,066,445"
The Marías,"15,779,404","122,799",527,"15,779,404"
Eslabon Armado,"15,760,689","3,667",64,"40,132,836"
YoungBoy Never Broke Again,"15,753,135","-12,655",288,"19,051,130"
